img1,img2,label
mini/train/535/535_dog_0_aug3.jpg,mini/train/500/500_dog_3_aug0.jpg,0
mini/train/2587/2587_dog_0.jpg,mini/train/2587/2587_dog_3.jpg,1
mini/train/1789/1789_dog_1.jpg,mini/train/1789/1789_dog_2.jpg,1
mini/train/705/705_dog_0_aug0.jpg,mini/train/705/705_dog_3_aug1.jpg,1
mini/train/5954/5954_dog_9.jpg,mini/train/615/615_dog_1_aug3.jpg,0
mini/train/206/206_dog_1_aug1.jpg,mini/train/4401/4401_dog_2.jpg,0
mini/train/5901/5901_dog_3.jpg,mini/train/5901/5901_dog_7.jpg,1
mini/train/5472/5472_dog_1.jpg,mini/train/5472/5472_dog_2.jpg,1
mini/train/4472/4472_dog_4.jpg,mini/train/2272/2272_dog_2.jpg,0
mini/train/5870/5870_dog_0.jpg,mini/train/1825/1825_dog_0_aug0.jpg,0
mini/train/4499/4499_dog_1.jpg,mini/train/485/485_dog_2.jpg,0
mini/train/4507/4507_dog_5.jpg,mini/train/5519/5519_dog_0.jpg,0
mini/train/66/66_dog_2.jpg,mini/train/3547/3547_dog_3.jpg,0
mini/train/1081/1081_dog_0.jpg,mini/train/1081/aug_4658_aug_1468_1081_dog_0.jpg,1
mini/train/760/760_dog_1.jpg,mini/train/3839/3839_dog_1.jpg,0
mini/train/4208/4208_dog_5.jpg,mini/train/4544/4544_dog_7.jpg,0
mini/train/5047/5047_dog_1.jpg,mini/train/4338/4338_dog_6.jpg,0
mini/train/4454/4454_dog_0.jpg,mini/train/1849/1849_dog_3_aug0.jpg,0
mini/train/3226/3226_dog_1.jpg,mini/train/418/418_dog_0_aug1.jpg,0
mini/train/5722/5722_dog_2.jpg,mini/train/680/680_dog_0.jpg,0
mini/train/5680/5680_dog_4.jpg,mini/train/5187/5187_dog_12.jpg,0
mini/train/1908/1908_dog_1.jpg,mini/train/929/929_dog_2.jpg,0
mini/train/3868/3868_dog_0.jpg,mini/train/1789/1789_dog_10.jpg,0
mini/train/3279/3279_dog_1_aug0.jpg,mini/train/3895/3895_dog_5_aug0.jpg,0
mini/train/1684/1684_dog_3_aug0.jpg,mini/train/2110/2110_dog_4_aug1.jpg,0
mini/train/5489/5489_dog_3.jpg,mini/train/3082/3082_dog_2.jpg,0
mini/train/2690/2690_dog_4_aug1.jpg,mini/train/5050/5050_dog_4.jpg,0
mini/train/2373/2373_dog_4.jpg,mini/train/5234/5234_dog_2.jpg,0
mini/train/2015/2015_dog_4.jpg,mini/train/2602/2602_dog_4.jpg,0
mini/train/3277/3277_dog_5.jpg,mini/train/5559/5559_dog_5.jpg,0
mini/train/2768/2768_dog_0.jpg,mini/train/2768/2768_dog_4.jpg,1
mini/train/4170/4170_dog_5.jpg,mini/train/833/833_dog_1_aug3.jpg,0
mini/train/5468/5468_dog_7.jpg,mini/train/1077/aug_6155_1077_dog_0.jpg,0
mini/train/5317/5317_dog_1.jpg,mini/train/5460/5460_dog_8.jpg,0
mini/train/5344/5344_dog_3.jpg,mini/train/3195/3195_dog_2.jpg,0
mini/train/2690/2690_dog_2.jpg,mini/train/2690/2690_dog_5.jpg,1
mini/train/2664/2664_dog_3.jpg,mini/train/2664/2664_dog_4.jpg,1
mini/train/2690/2690_dog_3.jpg,mini/train/3770/3770_dog_5.jpg,0
mini/train/5437/5437_dog_8.jpg,mini/train/965/965_dog_2.jpg,0
mini/train/5595/5595_dog_6.jpg,mini/train/2435/2435_dog_3.jpg,0
mini/train/678/678_dog_0_aug2.jpg,mini/train/678/678_dog_0_aug3.jpg,1
mini/train/3013/3013_dog_4_aug1.jpg,mini/train/4866/4866_dog_3.jpg,0
mini/train/5817/5817_dog_3.jpg,mini/train/5817/5817_dog_5.jpg,1
mini/train/5515/5515_dog_2.jpg,mini/train/5515/5515_dog_6.jpg,1
mini/train/4159/4159_dog_6.jpg,mini/train/2666/2666_dog_2.jpg,0
mini/train/71/71_dog_0_aug2.jpg,mini/train/71/71_dog_3_aug1.jpg,1
mini/train/2534/2534_dog_0.jpg,mini/train/305/305_dog_3_aug0.jpg,0
mini/train/3938/3938_dog_4_aug1.jpg,mini/train/4084/4084_dog_3.jpg,0
mini/train/503/503_dog_3.jpg,mini/train/1081/1081_dog_0.jpg,0
mini/train/5437/5437_dog_8.jpg,mini/train/3313/3313_dog_1.jpg,0
mini/train/989/989_dog_0_aug2.jpg,mini/train/2110/2110_dog_4.jpg,0
mini/train/503/503_dog_1.jpg,mini/train/503/503_dog_2_aug2.jpg,1
mini/train/5229/5229_dog_5.jpg,mini/train/5344/5344_dog_5.jpg,0
mini/train/4693/4693_dog_1.jpg,mini/train/4693/4693_dog_6.jpg,1
mini/train/1780/1780_dog_10.jpg,mini/train/1780/1780_dog_13.jpg,1
mini/train/5166/5166_dog_11.jpg,mini/train/5166/5166_dog_4.jpg,1
mini/train/3145/3145_dog_5.jpg,mini/train/2214/2214_dog_4.jpg,0
mini/train/3886/3886_dog_1.jpg,mini/train/5014/5014_dog_1.jpg,0
mini/train/5666/5666_dog_0.jpg,mini/train/5666/5666_dog_4.jpg,1
mini/train/1169/1169_dog_3.jpg,mini/train/680/680_dog_3.jpg,0
mini/train/5386/5386_dog_8.jpg,mini/train/418/418_dog_1_aug0.jpg,0
mini/train/3132/3132_dog_0.jpg,mini/train/3678/3678_dog_4_aug0.jpg,0
mini/train/3647/3647_dog_4.jpg,mini/train/1454/1454_dog_0_aug3.jpg,0
mini/train/1925/1925_dog_1.jpg,mini/train/4417/4417_dog_2.jpg,0
mini/train/3560/3560_dog_2.jpg,mini/train/2907/2907_dog_5.jpg,0
